"","animal_project_code","tag_id","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections"
"1","Reelease","A69-1303-339","Johnring","000410","55.403733","12.29945",2020-11-30 17:03:53,2020-11-30 19:42:53,83
"2","Reelease","A69-1303-339","S4","VR2W-135450","56.04414","12.65641",2020-12-07 23:55:16,2020-12-07 23:57:14,3
"3","Reelease","A69-1303-339","Sound6","VR2W-103417","56.05462","12.6503",2020-12-08 00:13:55,2020-12-08 00:13:55,1
"4","Reelease","A69-1303-340","Johnring","000410","55.403733","12.29945",2020-11-30 17:01:34,2020-11-30 21:05:28,128
"5","Reelease","A69-1303-341","Releasesite4","VR2W-102835","55.40425","12.304317",2020-11-30 16:59:18,2020-11-30 23:04:18,247
"6","Reelease","A69-1303-341","S0","VR2AR-549004","56.04158","12.62479",2020-12-07 15:30:23,2020-12-07 15:33:55,4
"7","Reelease","A69-1303-342","Releasesite4","VR2W-102835","55.40425","12.304317",2020-11-30 17:01:42,2020-12-01 05:59:19,335
"8","Reelease","A69-1303-342","Johnring","000410","55.403733","12.29945",2020-12-01 19:06:35,2020-12-01 19:10:36,5
"9","Reelease","A69-1303-342","Releasesite5","VR2W-102817","55.402133","12.3056",2020-12-01 20:17:07,2020-12-01 20:19:16,3
"10","Reelease","A69-1303-343","Releasesite4","VR2W-102835","55.40425","12.304317",2020-11-30 17:01:30,2020-11-30 22:46:52,246
"11","Reelease","A69-1303-343","Sound2.5","VR2AR-549001","56.04847","12.62524",2020-12-07 23:03:18,2020-12-07 23:04:08,2
"12","Reelease","A69-1303-344","Johnring","000410","55.403733","12.29945",2020-11-30 17:56:58,2020-11-30 23:07:21,98
"13","Reelease","A69-1303-344","Sound10","VR2W-126514","56.05746","12.67719",2020-12-23 05:35:16,2020-12-23 05:45:22,9
"14","Reelease","A69-1303-345","Johnring","none","55.403733","12.29945",2020-11-30 17:59:00,2020-11-30 19:18:18,24
"15","Reelease","A69-1303-345","Johnring","000344","55.403733","12.29945",2020-12-01 18:20:41,2020-12-01 18:42:08,9
"16","Reelease","A69-1303-346","Johnring","000410","55.403733","12.29945",2020-11-30 17:58:29,2020-11-30 20:13:04,59
"17","Reelease","A69-1303-346","Johnring","000410","55.403733","12.29945",2020-12-01 01:59:19,2020-12-01 01:59:38,2
"18","Reelease","A69-1303-346","S5","VR2AR-548700","56.04455","12.66497",2020-12-25 17:16:57,2020-12-25 17:34:24,15
