"","animal_project_code","tag_id","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections","swimtime_s","swimdistance_m","speed_m_s","totaldistance_m"
"1","Reelease","A69-1303-339","Johnring","none",55.403733,12.29945,2020-11-30 16:59:00,2020-11-30 19:42:53,83,NA,NA,NA,0
"2","Reelease","A69-1303-339","S4","VR2W-135450",56.04414,12.65641,2020-12-07 23:55:16,2020-12-07 23:57:14,3,619943,86592.357114,0.139678,86592.357114
"3","Reelease","A69-1303-339","Sound6","VR2W-103417",56.05462,12.6503,2020-12-08 00:13:55,2020-12-08 00:13:55,1,1001,1348.554438,1.347207,87940.911552
"4","Reelease","A69-1303-340","Johnring","none",55.403733,12.29945,2020-11-30 16:59:00,2020-11-30 21:05:28,128,NA,NA,NA,0
"5","Reelease","A69-1303-341","Johnring","none",55.403733,12.29945,2020-11-30 16:59:00,2020-11-30 23:04:18,247,NA,NA,NA,0
"6","Reelease","A69-1303-341","S0","VR2AR-549004",56.04158,12.62479,2020-12-07 15:30:23,2020-12-07 15:33:55,4,577565,86921.115469,0.150496,86921.115469
"7","Reelease","A69-1303-342","Johnring","none",55.403733,12.29945,2020-11-30 16:59:00,2020-12-01 05:59:19,335,NA,NA,NA,0
"8","Reelease","A69-1303-342","Johnring","000410",55.403733,12.29945,2020-12-01 19:06:35,2020-12-01 19:10:36,5,NA,NA,NA,0
"9","Reelease","A69-1303-342","Releasesite5","VR2W-102817",55.402133,12.3056,2020-12-01 20:17:07,2020-12-01 20:19:16,3,3991,541.506339,0.135682,541.506339
"10","Reelease","A69-1303-343","Johnring","none",55.403733,12.29945,2020-11-30 16:59:00,2020-11-30 22:46:52,246,NA,NA,NA,0
"11","Reelease","A69-1303-343","Sound2.5","VR2AR-549001",56.04847,12.62524,2020-12-07 23:03:18,2020-12-07 23:04:08,2,605786,87621.074551,0.14464,87621.074551
"12","Reelease","A69-1303-344","Johnring","none",55.403733,12.29945,2020-11-30 16:59:00,2020-11-30 23:07:21,98,NA,NA,NA,0
"13","Reelease","A69-1303-344","Sound10","VR2W-126514",56.05746,12.67719,2020-12-23 05:35:16,2020-12-23 05:45:22,9,1924075,87877.893178,0.045673,87877.893178
"14","Reelease","A69-1303-345","Johnring","none",55.403733,12.29945,2020-11-30 16:59:00,2020-11-30 16:59:00,1,NA,NA,NA,0
"15","Reelease","A69-1303-345","Johnring","000410",55.403733,12.29945,2020-11-30 18:00:05,2020-11-30 19:18:18,23,NA,NA,NA,0
"16","Reelease","A69-1303-345","Johnring","000344",55.403733,12.29945,2020-12-01 18:20:41,2020-12-01 18:42:08,9,NA,NA,NA,0
"17","Reelease","A69-1303-346","Johnring","none",55.403733,12.29945,2020-11-30 16:59:00,2020-11-30 20:13:04,59,NA,NA,NA,0
"18","Reelease","A69-1303-346","Johnring","000410",55.403733,12.29945,2020-12-01 01:59:19,2020-12-01 01:59:38,2,NA,NA,NA,0
"19","Reelease","A69-1303-346","S5","VR2AR-548700",56.04455,12.66497,2020-12-25 17:16:57,2020-12-25 17:34:24,15,2128639,86585.163141,0.040676,86585.163141
"20","Reelease","A69-1303-347","Johnring","none",55.403733,12.29945,2020-11-30 16:59:00,2020-11-30 16:59:00,1,NA,NA,NA,0
"21","Reelease","A69-1303-347","Johnring","000344",55.403733,12.29945,2020-11-30 18:02:59,2020-11-30 21:28:49,71,NA,NA,NA,0
"22","Reelease","A69-1303-347","Releasesite4","VR2W-102835",55.40425,12.304317,2020-11-30 22:39:14,2020-12-01 00:16:49,5,4225,341.468475,0.080821,341.468475
"23","Reelease","A69-1303-347","Releasesite4","VR2W-102835",55.40425,12.304317,2020-12-01 01:30:12,2020-12-01 01:30:12,1,NA,NA,NA,341.468475
"24","Reelease","A69-1303-348","Johnring","none",55.403733,12.29945,2020-11-30 16:59:00,2020-11-30 16:59:00,1,NA,NA,NA,0
"25","Reelease","A69-1303-348","Releasesite4","VR2W-102835",55.40425,12.304317,2020-11-30 18:07:31,2020-12-01 15:50:45,1036,4111,341.468475,0.083062,341.468475
"26","Reelease","A69-1303-349","Johnring","none",55.403733,12.29945,2020-11-30 16:59:00,2020-11-30 16:59:00,1,NA,NA,NA,0
"27","Reelease","A69-1303-349","Johnring","000410",55.403733,12.29945,2020-11-30 18:05:13,2020-11-30 21:13:37,57,NA,NA,NA,0
"28","Reelease","A69-1303-349","S4","VR2W-135450",56.04414,12.65641,2020-12-23 23:34:49,2020-12-23 23:51:36,19,1995672,86592.357114,0.04339,86592.357114
"29","Reelease","A69-1303-350","Johnring","none",55.403733,12.29945,2020-11-30 16:59:00,2020-11-30 16:59:00,1,NA,NA,NA,0
"30","Reelease","A69-1303-350","Johnring","000410",55.403733,12.29945,2020-11-30 18:01:08,2020-11-30 20:10:46,36,NA,NA,NA,0
"31","Reelease","A69-1303-351","Johnring","none",55.403733,12.29945,2020-11-30 16:59:00,2020-11-30 16:59:00,1,NA,NA,NA,0
"32","Reelease","A69-1303-351","Johnring","000410",55.403733,12.29945,2020-11-30 18:01:04,2020-12-01 06:48:05,427,NA,NA,NA,0
"33","Reelease","A69-1303-351","Johnring","000344",55.403733,12.29945,2020-12-02 03:01:27,2020-12-02 03:44:50,23,NA,NA,NA,0
"34","Reelease","A69-1303-351","Releasesite3","VR2W-102653",55.40695,12.3004,2020-12-02 06:59:30,2020-12-02 07:33:05,5,11680,441.413075,0.037792,441.413075
"35","Reelease","A69-1303-351","S4","VR2W-135450",56.04414,12.65641,2021-02-08 11:44:47,2021-02-08 11:47:16,4,5890302,86150.944039,0.014626,86592.357114
"36","Reelease","A69-1303-352","Johnring","none",55.403733,12.29945,2020-11-30 16:59:00,2020-11-30 16:59:00,1,NA,NA,NA,0
"37","Reelease","A69-1303-352","Johnring","000410",55.403733,12.29945,2020-11-30 18:56:29,2020-12-02 00:57:51,2519,NA,NA,NA,0
"38","Reelease","A69-1303-352","Johnring","000344",55.403733,12.29945,2020-12-02 03:13:18,2020-12-04 13:31:08,3438,NA,NA,NA,0
"39","Reelease","A69-1303-352","Johnring","000344",55.403733,12.29945,2020-12-04 23:04:06,2020-12-04 23:04:06,1,NA,NA,NA,0
"40","Reelease","A69-1303-352","Johnring","000344",55.403733,12.29945,2020-12-05 00:12:30,2020-12-05 01:05:22,2,NA,NA,NA,0
"41","Reelease","A69-1303-353","Johnring","none",55.403733,12.29945,2020-11-30 16:59:00,2020-11-30 16:59:00,1,NA,NA,NA,0
"42","Reelease","A69-1303-353","Releasesite4","VR2W-102835",55.40425,12.304317,2020-11-30 18:54:30,2020-12-01 04:02:16,311,6930,341.468475,0.049274,341.468475
"43","Reelease","A69-1303-354","Johnring","none",55.403733,12.29945,2020-11-30 16:59:00,2020-11-30 16:59:00,1,NA,NA,NA,0
"44","Reelease","A69-1303-354","Johnring","000410",55.403733,12.29945,2020-11-30 19:19:48,2020-11-30 19:21:49,3,NA,NA,NA,0
"45","Reelease","A69-1303-354","Releasesite3","VR2W-102653",55.40695,12.3004,2020-12-01 16:33:52,2020-12-01 16:40:47,5,76323,441.413075,0.005783,441.413075
"46","Reelease","A69-1303-354","Sound2.5","VR2AR-549001",56.04847,12.62524,2021-02-16 03:39:30,2021-02-16 03:55:21,16,6605923,87179.661476,0.013197,87621.074551
"47","Reelease","A69-1303-354","Sound6","VR2W-103417",56.05462,12.6503,2021-02-16 12:01:15,2021-02-16 12:03:43,2,29154,1772.970159,0.060814,89394.04471
"48","Reelease","A69-1303-354","Sound4","VR2W-133219",56.0587,12.63245,2021-02-16 14:33:01,2021-02-16 15:12:40,21,8958,1224.443289,0.136687,90618.487999
"49","Reelease","A69-1303-355","Johnring","none",55.403733,12.29945,2020-11-30 16:59:00,2020-11-30 16:59:00,1,NA,NA,NA,0
"50","Reelease","A69-1303-355","Johnring","000410",55.403733,12.29945,2020-11-30 19:17:41,2020-12-01 01:16:54,314,NA,NA,NA,0
"51","Reelease","A69-1303-356","Johnring","none",55.403733,12.29945,2020-11-30 16:59:00,2020-11-30 16:59:00,1,NA,NA,NA,0
"52","Reelease","A69-1303-356","Johnring","000410",55.403733,12.29945,2020-11-30 18:55:10,2020-11-30 21:12:31,45,NA,NA,NA,0
"53","Reelease","A69-1303-356","Releasesite2","VR2W-102670",55.407583,12.295033,2020-12-04 17:00:01,2020-12-04 17:23:39,6,330450,524.285987,0.001587,524.285987
"54","Reelease","A69-1303-357","Johnring","none",55.403733,12.29945,2020-11-30 16:59:00,2020-11-30 16:59:00,1,NA,NA,NA,0
"55","Reelease","A69-1303-357","Johnring","000410",55.403733,12.29945,2020-11-30 18:54:53,2020-11-30 19:36:14,6,NA,NA,NA,0
"56","Reelease","A69-1303-357","Releasesite4","VR2W-102835",55.40425,12.304317,2020-11-30 21:51:11,2020-12-01 01:04:01,45,8097,341.468475,0.042172,341.468475
"57","Reelease","A69-1303-358","Johnring","none",55.403733,12.29945,2020-11-30 16:59:00,2020-11-30 16:59:00,1,NA,NA,NA,0
