transmitter,length_mm,weight_g,release_time,dst,release_latitude,release_longitude,station_name
A69-9006-5417,867,1183,20/11/2019 15:45,1,55.403733,12.29945,Johnring
A69-9006-5418,863,1270,20/11/2019 15:45,1,55.403733,12.29945,Johnring
A69-9006-5419,945,1520,20/11/2019 15:45,1,55.403733,12.29945,Johnring
A69-9006-5420,806,1174,20/11/2019 15:45,1,55.403733,12.29945,Johnring
A69-9006-5421,816,1091,20/11/2019 15:45,1,55.403733,12.29945,Johnring
A69-9006-5422,870,1390,20/11/2019 15:45,1,55.403733,12.29945,Johnring
A69-9006-5423,852,1385,20/11/2019 15:45,1,55.403733,12.29945,Johnring
A69-9006-5424,788,1226,20/11/2019 15:45,1,55.403733,12.29945,Johnring
A69-9006-5425,866,1378,20/11/2019 15:45,1,55.403733,12.29945,Johnring
A69-9006-5426,890,1418,20/11/2019 15:45,1,55.403733,12.29945,Johnring
A69-9006-5427,896,1251,20/11/2019 15:45,1,55.403733,12.29945,Johnring
A69-9006-5428,929,1688,20/11/2019 15:45,1,55.403733,12.29945,Johnring
A69-9006-5429,893,1427,20/11/2019 15:45,1,55.403733,12.29945,Johnring
A69-9006-5430,762,1181,20/11/2019 15:45,1,55.403733,12.29945,Johnring
A69-9006-5431,882,1306,20/11/2019 15:45,1,55.403733,12.29945,Johnring
A69-9006-5432,812,1229,20/11/2019 15:45,1,55.403733,12.29945,Johnring
A69-9006-5433,775,1276,20/11/2019 15:45,1,55.403733,12.29945,Johnring
A69-9006-5434,826,1342,20/11/2019 15:45,1,55.403733,12.29945,Johnring
A69-9006-5435,743,1130,20/11/2019 15:45,1,55.403733,12.29945,Johnring
A69-9006-5436,858,1255,20/11/2019 15:45,0,55.403733,12.29945,Johnring
A69-9006-5437,892,1453,20/11/2019 15:45,0,55.403733,12.29945,Johnring
A69-9006-5438,858,1300,20/11/2019 15:45,0,55.403733,12.29945,Johnring
A69-9006-5439,846,1345,20/11/2019 15:45,0,55.403733,12.29945,Johnring
A69-9006-5440,801,1132,20/11/2019 15:45,0,55.403733,12.29945,Johnring
A69-9006-5441,913,1348,20/11/2019 15:45,0,55.403733,12.29945,Johnring
A69-9006-5442,899,1291,20/11/2019 15:45,0,55.403733,12.29945,Johnring
A69-9006-5443,865,1218,20/11/2019 15:45,0,55.403733,12.29945,Johnring
A69-9006-5444,877,1165,20/11/2019 15:45,0,55.403733,12.29945,Johnring
A69-9006-5445,871,1238,20/11/2019 15:45,0,55.403733,12.29945,Johnring
A69-9006-5446,841,1422,20/11/2019 15:45,0,55.403733,12.29945,Johnring
A69-9006-5447,827,1078,20/11/2019 15:45,0,55.403733,12.29945,Johnring
A69-9006-5448,900,1456,20/11/2019 15:45,0,55.403733,12.29945,Johnring
A69-9006-5449,892,1452,20/11/2019 15:45,0,55.403733,12.29945,Johnring
A69-9006-5450,854,1472,20/11/2019 15:45,0,55.403733,12.29945,Johnring
A69-9006-5451,877,1266,20/11/2019 15:45,0,55.403733,12.29945,Johnring
A69-9006-5452,927,1606,20/11/2019 15:45,0,55.403733,12.29945,Johnring
A69-9006-5453,951,1772,20/11/2019 15:45,0,55.403733,12.29945,Johnring
A69-9006-5454,897,1405,20/11/2019 15:45,0,55.403733,12.29945,Johnring
A69-1303-339,900,1686,30/11/2020 17:59,1,55.403733,12.29945,Johnring
A69-1303-340,960,1453,30/11/2020 17:59,1,55.403733,12.29945,Johnring
A69-1303-341,830,1353,30/11/2020 17:59,1,55.403733,12.29945,Johnring
A69-1303-342,770,1003,30/11/2020 17:59,1,55.403733,12.29945,Johnring
A69-1303-343,960,1563,30/11/2020 17:59,1,55.403733,12.29945,Johnring
A69-1303-344,940,1857,30/11/2020 17:59,1,55.403733,12.29945,Johnring
A69-1303-345,880,1435,30/11/2020 17:59,1,55.403733,12.29945,Johnring
A69-1303-346,930,1558,30/11/2020 17:59,0,55.403733,12.29945,Johnring
A69-1303-347,920,1512,30/11/2020 17:59,1,55.403733,12.29945,Johnring
A69-1303-348,820,1205,30/11/2020 17:59,1,55.403733,12.29945,Johnring
A69-1303-349,870,1082,30/11/2020 17:59,1,55.403733,12.29945,Johnring
A69-1303-350,890,1750,30/11/2020 17:59,0,55.403733,12.29945,Johnring
A69-1303-351,910,1354,30/11/2020 17:59,1,55.403733,12.29945,Johnring
A69-1303-352,850,1232,30/11/2020 17:59,1,55.403733,12.29945,Johnring
A69-1303-353,790,1012,30/11/2020 17:59,1,55.403733,12.29945,Johnring
A69-1303-354,850,1094,30/11/2020 17:59,0,55.403733,12.29945,Johnring
A69-1303-355,980,1602,30/11/2020 17:59,1,55.403733,12.29945,Johnring
A69-1303-356,880,1252,30/11/2020 17:59,0,55.403733,12.29945,Johnring
A69-1303-357,840,1174,30/11/2020 17:59,0,55.403733,12.29945,Johnring
A69-1303-358,930,1217,30/11/2020 17:59,0,55.403733,12.29945,Johnring
A69-1303-359,860,1207,30/11/2020 17:59,0,55.403733,12.29945,Johnring
A69-1303-360,910,1574,30/11/2020 17:59,0,55.403733,12.29945,Johnring
A69-1303-361,840,1186,30/11/2020 17:59,0,55.403733,12.29945,Johnring
A69-1303-362,870,1486,30/11/2020 17:59,0,55.403733,12.29945,Johnring
A69-1303-363,860,1366,30/11/2020 17:59,0,55.403733,12.29945,Johnring
A69-1303-364,800,1077,30/11/2020 17:59,0,55.403733,12.29945,Johnring
A69-1303-365,830,1197,30/11/2020 17:59,0,55.403733,12.29945,Johnring
A69-1303-366,850,1292,30/11/2020 17:59,0,55.403733,12.29945,Johnring
