Date and Time (UTC), Unix Timestamp (UTC), ID, Data, Protocol, SNR, Receiver
2020-12-05T01:05:22.976Z,1607130322.976,352,,R64K-69kHz,10,000344
2020-12-05T00:12:30.938Z,1607127150.938,352,,R64K-69kHz,11,000344
2020-12-04T23:04:06.889Z,1607123046.889,352,,R64K-69kHz,9,000344
2020-12-04T13:31:08.454Z,1607088668.454,352,,R64K-69kHz,15,000344
2020-12-04T13:21:21.446Z,1607088081.446,352,,R64K-69kHz,7,000344
2020-12-04T13:18:07.443Z,1607087887.443,352,,R64K-69kHz,16,000344
2020-12-04T13:09:33.436Z,1607087373.436,352,,R64K-69kHz,17,000344
2020-12-04T13:03:31.432Z,1607087011.432,352,,R64K-69kHz,14,000344
2020-12-04T13:01:14.432Z,1607086874.432,352,,R64K-69kHz,14,000344
2020-12-04T13:00:08.430Z,1607086808.430,352,,R64K-69kHz,17,000344
2020-12-04T12:58:16.428Z,1607086696.428,352,,R64K-69kHz,13,000344
2020-12-04T12:56:57.426Z,1607086617.426,352,,R64K-69kHz,13,000344
2020-12-04T12:51:33.424Z,1607086293.424,352,,R64K-69kHz,18,000344
2020-12-04T12:40:05.414Z,1607085605.414,352,,R64K-69kHz,16,000344
2020-12-04T12:35:02.413Z,1607085302.413,352,,R64K-69kHz,18,000344
2020-12-04T12:33:32.411Z,1607085212.411,352,,R64K-69kHz,18,000344
2020-12-04T12:31:19.410Z,1607085079.410,352,,R64K-69kHz,17,000344
2020-12-04T12:30:01.406Z,1607085001.406,352,,R64K-69kHz,24,000344
2020-12-04T12:28:31.405Z,1607084911.405,352,,R64K-69kHz,15,000344
2020-12-04T12:26:08.404Z,1607084768.404,352,,R64K-69kHz,22,000344
2020-12-04T12:23:50.402Z,1607084630.402,352,,R64K-69kHz,23,000344
2020-12-04T12:22:02.403Z,1607084522.403,352,,R64K-69kHz,23,000344
2020-12-04T12:21:02.399Z,1607084462.399,352,,R64K-69kHz,19,000344
2020-12-04T12:17:44.401Z,1607084264.401,352,,R64K-69kHz,17,000344
2020-12-04T12:16:25.396Z,1607084185.396,352,,R64K-69kHz,18,000344
2020-12-04T12:11:54.393Z,1607083914.393,352,,R64K-69kHz,20,000344
2020-12-04T12:09:23.382Z,1607083763.382,352,,R64K-69kHz,24,000344
2020-12-04T12:09:03.713Z,1607083743.713,352,,R64K-69kHz,26,000410
2020-12-04T12:08:27.387Z,1607083707.387,352,,R64K-69kHz,21,000344
2020-12-04T12:08:07.710Z,1607083687.710,352,,R64K-69kHz,20,000410
2020-12-04T12:07:18.381Z,1607083638.381,352,,R64K-69kHz,23,000344
2020-12-04T12:06:23.709Z,1607083583.709,352,,R64K-69kHz,36,000410
2020-12-04T12:05:16.379Z,1607083516.379,352,,R64K-69kHz,33,000344
2020-12-04T12:04:56.706Z,1607083496.706,352,,R64K-69kHz,24,000410
2020-12-04T12:04:37.378Z,1607083477.378,352,,R64K-69kHz,32,000344
2020-12-04T12:04:17.705Z,1607083457.705,352,,R64K-69kHz,29,000410
2020-12-04T12:03:24.378Z,1607083404.378,352,,R64K-69kHz,23,000344
2020-12-04T12:02:13.705Z,1607083333.705,352,,R64K-69kHz,26,000410
2020-12-04T12:01:54.376Z,1607083314.376,352,,R64K-69kHz,32,000344
2020-12-04T12:00:33.376Z,1607083233.376,352,,R64K-69kHz,27,000344
2020-12-04T12:00:13.705Z,1607083213.705,352,,R64K-69kHz,32,000410
2020-12-04T11:59:09.376Z,1607083149.376,352,,R64K-69kHz,21,000344
2020-12-04T11:58:49.707Z,1607083129.707,352,,R64K-69kHz,20,000410
2020-12-04T11:56:58.377Z,1607083018.377,352,,R64K-69kHz,21,000344
2020-12-04T11:56:38.706Z,1607082998.706,352,,R64K-69kHz,17,000410
2020-12-04T11:56:25.374Z,1607082985.374,352,,R64K-69kHz,23,000344
2020-12-04T11:56:05.703Z,1607082965.703,352,,R64K-69kHz,20,000410
